Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,22/10/2024 23:30,TD Garden,Boston Celtics,New York Knicks,132 - 109
2,1,23/10/2024 02:00,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,110 - 103
3,1,23/10/2024 23:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,109 - 115
4,1,23/10/2024 23:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,120 - 116
5,1,23/10/2024 23:30,Kaseya Center,Miami Heat,Orlando Magic,97 - 116
6,1,23/10/2024 23:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,109 - 124
7,1,23/10/2024 23:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,106 - 136
8,1,24/10/2024 00:00,Toyota Center,Houston Rockets,Charlotte Hornets,105 - 110
9,1,24/10/2024 00:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,123 - 111
10,1,24/10/2024 01:00,Delta Center,Utah Jazz,Memphis Grizzlies,124 - 126
11,1,24/10/2024 02:00,Intuit Dome,LA Clippers,Phoenix Suns,113 - 116
12,1,24/10/2024 02:00,Moda Center,Portland Trail Blazers,Golden State Warriors,104 - 140
13,1,24/10/2024 23:00,Capital One Arena,Washington Wizards,Boston Celtics,102 - 122
14,1,24/10/2024 23:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,120 - 109
15,1,25/10/2024 02:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,87 - 102
16,1,25/10/2024 02:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,115 - 117
17,1,25/10/2024 23:00,Kia Center,Orlando Magic,Brooklyn Nets,116 - 101
18,1,25/10/2024 23:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,115 - 107
19,1,25/10/2024 23:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,125 - 120
20,1,25/10/2024 23:30,Rocket Arena,Cleveland Cavaliers,Detroit Pistons,113 - 101
21,1,25/10/2024 23:30,Madison Square Garden,New York Knicks,Indiana Pacers,123 - 98
22,1,26/10/2024 00:00,Toyota Center,Houston Rockets,Memphis Grizzlies,128 - 108
23,1,26/10/2024 00:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,122 - 133
24,1,26/10/2024 01:30,Delta Center,Utah Jazz,Golden State Warriors,86 - 127
25,1,26/10/2024 02:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,123 - 116
26,1,26/10/2024 02:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,103 - 105
27,1,26/10/2024 21:00,Ball Arena,Denver Nuggets,LA Clippers,104 - 109
28,1,26/10/2024 23:00,Spectrum Center,Charlotte Hornets,Miami Heat,106 - 114
29,1,26/10/2024 23:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,118 - 124
30,1,26/10/2024 23:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,116 - 135
31,1,27/10/2024 00:00,United Center,Chicago Bulls,Oklahoma City Thunder,95 - 114
32,1,27/10/2024 00:00,FedExForum,Memphis Grizzlies,Orlando Magic,124 - 111
33,1,27/10/2024 00:00,Target Center,Minnesota Timberwolves,Toronto Raptors,112 - 101
34,1,27/10/2024 00:30,Frost Bank Center,San Antonio Spurs,Houston Rockets,109 - 106
35,1,27/10/2024 02:00,PHX Arena,Phoenix Suns,Dallas Mavericks,114 - 102
36,1,27/10/2024 02:30,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,131 - 127
37,1,27/10/2024 19:30,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,114 - 118
38,1,27/10/2024 22:00,Barclays Center,Brooklyn Nets,Milwaukee Bucks,115 - 102
39,1,27/10/2024 22:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,125 - 103
40,1,27/10/2024 23:00,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,128 - 104
41,1,28/10/2024 00:30,Chase Center,Golden State Warriors,LA Clippers,104 - 112
42,1,28/10/2024 23:00,Kia Center,Orlando Magic,Indiana Pacers,119 - 115
43,1,28/10/2024 23:30,State Farm Arena,Atlanta Hawks,Washington Wizards,119 - 121
44,1,28/10/2024 23:30,TD Garden,Boston Celtics,Milwaukee Bucks,119 - 108
45,1,28/10/2024 23:30,Kaseya Center,Miami Heat,Detroit Pistons,106 - 98
46,1,28/10/2024 23:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,104 - 110
47,1,28/10/2024 23:30,Scotiabank Arena,Toronto Raptors,Denver Nuggets,125 - 127
48,1,29/10/2024 00:00,FedExForum,Memphis Grizzlies,Chicago Bulls,123 - 126
49,1,29/10/2024 00:00,Frost Bank Center,San Antonio Spurs,Houston Rockets,101 - 106
50,1,29/10/2024 00:30,American Airlines Center,Dallas Mavericks,Utah Jazz,110 - 102
51,1,29/10/2024 02:00,PHX Arena,Phoenix Suns,Los Angeles Lakers,109 - 105
52,1,29/10/2024 02:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,111 - 98
53,1,29/10/2024 23:30,Barclays Center,Brooklyn Nets,Denver Nuggets,139 - 144
54,1,29/10/2024 23:30,Target Center,Minnesota Timberwolves,Dallas Mavericks,114 - 120
55,1,30/10/2024 01:00,Delta Center,Utah Jazz,Sacramento Kings,96 - 113
56,1,30/10/2024 02:00,Chase Center,Golden State Warriors,New Orleans Pelicans,124 - 106
57,2,30/10/2024 23:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,138 - 133
58,2,30/10/2024 23:00,Rocket Arena,Cleveland Cavaliers,Los Angeles Lakers,134 - 110
59,2,30/10/2024 23:00,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,135 - 132
60,2,30/10/2024 23:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,95 - 105
61,2,30/10/2024 23:00,Capital One Arena,Washington Wizards,Atlanta Hawks,133 - 120
62,2,30/10/2024 23:30,Kaseya Center,Miami Heat,New York Knicks,107 - 116
63,2,31/10/2024 00:00,United Center,Chicago Bulls,Orlando Magic,102 - 99
64,2,31/10/2024 00:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,106 - 119
65,2,31/10/2024 01:30,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,105 - 93
66,2,31/10/2024 02:00,Chase Center,Golden State Warriors,New Orleans Pelicans,104 - 89
67,2,31/10/2024 02:30,Intuit Dome,LA Clippers,Portland Trail Blazers,105 - 106
68,2,01/11/2024 00:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,122 - 99
69,2,01/11/2024 00:30,American Airlines Center,Dallas Mavericks,Houston Rockets,102 - 108
70,2,01/11/2024 01:00,Delta Center,Utah Jazz,San Antonio Spurs,88 - 106
71,2,01/11/2024 02:30,Intuit Dome,LA Clippers,Phoenix Suns,119 - 125
72,2,01/11/2024 23:00,Spectrum Center,Charlotte Hornets,Boston Celtics,109 - 124
73,2,01/11/2024 23:00,Rocket Arena,Cleveland Cavaliers,Orlando Magic,120 - 109
74,2,01/11/2024 23:00,Little Caesars Arena,Detroit Pistons,New York Knicks,98 - 128
75,2,01/11/2024 23:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115 - 123
76,2,01/11/2024 23:30,Barclays Center,Brooklyn Nets,Chicago Bulls,120 - 112
77,2,01/11/2024 23:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,125 - 131
78,2,02/11/2024 00:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,125 - 118
79,2,02/11/2024 01:30,Target Center,Minnesota Timberwolves,Denver Nuggets,119 - 116
80,2,02/11/2024 02:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,114 - 137
81,2,02/11/2024 22:00,Spectrum Center,Charlotte Hornets,Boston Celtics,103 - 113
82,2,02/11/2024 23:30,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,104 - 124
83,2,02/11/2024 23:30,Scotiabank Arena,Toronto Raptors,Sacramento Kings,131 - 128
84,2,03/11/2024 00:00,Toyota Center,Houston Rockets,Golden State Warriors,121 - 127
85,2,03/11/2024 00:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,113 - 114
86,2,03/11/2024 00:00,Frost Bank Center,San Antonio Spurs,Minnesota Timberwolves,113 - 103
87,2,03/11/2024 01:30,Arena CDMX,Washington Wizards,Miami Heat,98 - 118
88,2,03/11/2024 02:00,Ball Arena,Denver Nuggets,Utah Jazz,129 - 103
89,2,03/11/2024 02:00,PHX Arena,Phoenix Suns,Portland Trail Blazers,103 - 97
90,2,03/11/2024 02:30,Intuit Dome,LA Clippers,Oklahoma City Thunder,92 - 105
91,2,03/11/2024 20:30,Barclays Center,Brooklyn Nets,Detroit Pistons,92 - 106
92,2,04/11/2024 00:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,111 - 126
93,2,04/11/2024 00:30,American Airlines Center,Dallas Mavericks,Orlando Magic,108 - 85
94,2,05/11/2024 00:00,Rocket Arena,Cleveland Cavaliers,Milwaukee Bucks,116 - 114
95,2,05/11/2024 00:15,Capital One Arena,Washington Wizards,Golden State Warriors,112 - 125
96,2,05/11/2024 00:30,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,115 - 103
97,2,05/11/2024 00:45,State Farm Arena,Atlanta Hawks,Boston Celtics,93 - 123
98,2,05/11/2024 01:00,Barclays Center,Brooklyn Nets,Memphis Grizzlies,106 - 104
99,2,05/11/2024 01:15,Kaseya Center,Miami Heat,Sacramento Kings,110 - 111
100,2,05/11/2024 01:30,United Center,Chicago Bulls,Utah Jazz,126 - 135
101,2,05/11/2024 01:45,Toyota Center,Houston Rockets,New York Knicks,109 - 97
102,2,05/11/2024 02:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,114 - 93
103,2,05/11/2024 02:15,Paycom Center,Oklahoma City Thunder,Orlando Magic,102 - 86
104,2,05/11/2024 02:30,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,100 - 118
105,2,05/11/2024 02:45,American Airlines Center,Dallas Mavericks,Indiana Pacers,127 - 134
106,2,05/11/2024 03:00,Ball Arena,Denver Nuggets,Toronto Raptors,121 - 119
107,2,05/11/2024 03:15,PHX Arena,Phoenix Suns,Philadelphia 76ers,118 - 116
108,2,05/11/2024 03:30,Intuit Dome,LA Clippers,San Antonio Spurs,113 - 104
109,3,07/11/2024 00:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,108 - 107
110,3,07/11/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,118 - 111
111,3,07/11/2024 00:30,State Farm Arena,Atlanta Hawks,New York Knicks,121 - 116
112,3,07/11/2024 00:30,TD Garden,Boston Celtics,Golden State Warriors,112 - 118
113,3,07/11/2024 01:00,Toyota Center,Houston Rockets,San Antonio Spurs,127 - 100
114,3,07/11/2024 01:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,131 - 114
115,3,07/11/2024 01:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,122 - 131
116,3,07/11/2024 01:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,119 - 99
117,3,07/11/2024 02:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,124 - 122
118,3,07/11/2024 02:00,PHX Arena,Phoenix Suns,Miami Heat,115 - 112
119,3,07/11/2024 03:00,Intuit Dome,LA Clippers,Philadelphia 76ers,110 - 98
120,3,07/11/2024 03:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,122 - 107
121,3,08/11/2024 01:00,United Center,Chicago Bulls,Minnesota Timberwolves,119 - 135
122,3,08/11/2024 01:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,123 - 100
123,3,08/11/2024 01:00,Frost Bank Center,San Antonio Spurs,Portland Trail Blazers,118 - 105
124,3,09/11/2024 00:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,103 - 83
125,3,09/11/2024 00:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,122 - 121
126,3,09/11/2024 00:00,Kia Center,Orlando Magic,New Orleans Pelicans,115 - 88
127,3,09/11/2024 00:30,TD Garden,Boston Celtics,Brooklyn Nets,108 - 104
128,3,09/11/2024 00:30,Rocket Arena,Cleveland Cavaliers,Golden State Warriors,136 - 117
129,3,09/11/2024 00:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,116 - 94
130,3,09/11/2024 00:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,113 - 114
131,3,09/11/2024 01:00,FedExForum,Memphis Grizzlies,Washington Wizards,128 - 104
132,3,09/11/2024 01:00,Paycom Center,Oklahoma City Thunder,Houston Rockets,126 - 107
133,3,09/11/2024 02:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,127 - 102
134,3,09/11/2024 02:00,Ball Arena,Denver Nuggets,Miami Heat,135 - 122
135,3,09/11/2024 03:00,Crypto.com Arena,Los Angeles Lakers,Philadelphia 76ers,116 - 106
136,3,09/11/2024 03:00,Golden 1 Center,Sacramento Kings,LA Clippers,98 - 107
137,3,09/11/2024 22:00,Frost Bank Center,San Antonio Spurs,Utah Jazz,110 - 111
138,3,10/11/2024 00:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,113 - 125
139,3,10/11/2024 00:30,Rocket Arena,Cleveland Cavaliers,Brooklyn Nets,105 - 100
140,3,10/11/2024 03:30,Intuit Dome,LA Clippers,Toronto Raptors,105 - 103
141,3,10/11/2024 20:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,99 - 101
142,3,10/11/2024 20:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,107 - 113
143,3,10/11/2024 22:00,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,132 - 121
144,3,10/11/2024 23:00,Kia Center,Orlando Magic,Washington Wizards,121 - 94
145,3,11/11/2024 00:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,107 - 105
146,3,11/11/2024 00:00,Target Center,Minnesota Timberwolves,Miami Heat,94 - 95
147,3,11/11/2024 00:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,116 - 127
148,3,11/11/2024 01:00,Ball Arena,Denver Nuggets,Dallas Mavericks,122 - 120
149,3,11/11/2024 01:00,PHX Arena,Phoenix Suns,Sacramento Kings,118 - 127
150,3,11/11/2024 02:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,89 - 134
151,3,11/11/2024 02:30,Crypto.com Arena,Los Angeles Lakers,Toronto Raptors,123 - 103
152,3,12/11/2024 01:00,United Center,Chicago Bulls,Cleveland Cavaliers,113 - 119
153,3,12/11/2024 01:00,Toyota Center,Houston Rockets,Washington Wizards,107 - 92
154,3,12/11/2024 01:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,105 - 107
155,3,12/11/2024 01:00,Paycom Center,Oklahoma City Thunder,LA Clippers,134 - 128
156,3,12/11/2024 01:00,Frost Bank Center,San Antonio Spurs,Sacramento Kings,116 - 96
157,3,13/11/2024 00:00,TD Garden,Boston Celtics,Atlanta Hawks,116 - 117
158,3,13/11/2024 00:00,Little Caesars Arena,Detroit Pistons,Miami Heat,123 - 121
159,3,13/11/2024 00:00,Kia Center,Orlando Magic,Charlotte Hornets,114 - 89
160,3,13/11/2024 00:30,Wells Fargo Center,Philadelphia 76ers,New York Knicks,99 - 111
161,3,13/11/2024 01:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,99 - 85
162,3,13/11/2024 02:00,Delta Center,Utah Jazz,Phoenix Suns,112 - 120
163,3,13/11/2024 03:00,Chase Center,Golden State Warriors,Dallas Mavericks,120 - 117
164,3,13/11/2024 03:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,122 - 108
165,4,14/11/2024 00:00,Kia Center,Orlando Magic,Indiana Pacers,94 - 90
166,4,14/11/2024 00:30,Barclays Center,Brooklyn Nets,Boston Celtics,114 - 139
167,4,14/11/2024 00:30,Madison Square Garden,New York Knicks,Chicago Bulls,123 - 124
168,4,14/11/2024 00:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,106 - 114
169,4,14/11/2024 00:30,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,106 - 88
170,4,14/11/2024 01:00,Toyota Center,Houston Rockets,LA Clippers,111 - 103
171,4,14/11/2024 01:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,127 - 120
172,4,14/11/2024 01:00,Frost Bank Center,San Antonio Spurs,Washington Wizards,139 - 130
173,4,14/11/2024 03:00,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,128 - 123
174,4,14/11/2024 03:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,106 - 98
175,4,14/11/2024 03:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,127 - 104
176,4,15/11/2024 02:00,Delta Center,Utah Jazz,Dallas Mavericks,115 - 113
177,4,16/11/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,111 - 124
178,4,16/11/2024 00:00,Kia Center,Orlando Magic,Philadelphia 76ers,98 - 86
179,4,16/11/2024 00:00,Scotiabank Arena,Toronto Raptors,Detroit Pistons,95 - 99
180,4,16/11/2024 00:30,State Farm Arena,Atlanta Hawks,Washington Wizards,129 - 117
181,4,16/11/2024 00:30,Rocket Arena,Cleveland Cavaliers,Chicago Bulls,144 - 126
182,4,16/11/2024 00:30,Madison Square Garden,New York Knicks,Brooklyn Nets,124 - 122
183,4,16/11/2024 00:30,Frost Bank Center,San Antonio Spurs,Los Angeles Lakers,115 - 120
184,4,16/11/2024 01:00,Toyota Center,Houston Rockets,LA Clippers,125 - 104
185,4,16/11/2024 01:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,101 - 94
186,4,16/11/2024 01:00,Paycom Center,Oklahoma City Thunder,Phoenix Suns,99 - 83
187,4,16/11/2024 03:00,Chase Center,Golden State Warriors,Memphis Grizzlies,123 - 118
188,4,16/11/2024 03:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,126 - 130
189,4,16/11/2024 20:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,115 - 114
190,4,17/11/2024 01:00,TD Garden,Boston Celtics,Toronto Raptors,126 - 123
191,4,17/11/2024 01:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,99 - 104
192,4,17/11/2024 01:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,110 - 93
193,4,17/11/2024 03:00,Golden 1 Center,Sacramento Kings,Utah Jazz,121 - 117
194,4,17/11/2024 20:30,Target Center,Minnesota Timberwolves,Phoenix Suns,120 - 117
195,4,17/11/2024 22:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,119 - 110
196,4,17/11/2024 23:00,Rocket Arena,Cleveland Cavaliers,Charlotte Hornets,128 - 114
197,4,17/11/2024 23:00,Capital One Arena,Washington Wizards,Detroit Pistons,104 - 124
198,4,17/11/2024 23:00,FedExForum,Memphis Grizzlies,Denver Nuggets,105 - 90
199,4,17/11/2024 23:00,Moda Center,Portland Trail Blazers,Atlanta Hawks,114 - 110
200,4,18/11/2024 00:00,Madison Square Garden,New York Knicks,Brooklyn Nets,114 - 104
201,4,18/11/2024 00:00,United Center,Chicago Bulls,Houston Rockets,107 - 143
202,4,18/11/2024 00:00,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,119 - 121
203,4,18/11/2024 02:00,Intuit Dome,LA Clippers,Utah Jazz,116 - 105
204,4,19/11/2024 00:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,112 - 122
205,4,19/11/2024 00:30,Kaseya Center,Miami Heat,Philadelphia 76ers,106 - 89
206,4,19/11/2024 00:30,Madison Square Garden,New York Knicks,Washington Wizards,134 - 106
207,4,19/11/2024 00:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,130 - 119
208,4,19/11/2024 01:00,Fiserv Forum,Milwaukee Bucks,Houston Rockets,101 - 100
209,4,19/11/2024 02:00,PHX Arena,Phoenix Suns,Orlando Magic,99 - 109
210,4,19/11/2024 03:00,Golden 1 Center,Sacramento Kings,Atlanta Hawks,108 - 109
211,4,19/11/2024 03:30,Intuit Dome,LA Clippers,Golden State Warriors,102 - 99
212,4,20/11/2024 00:00,TD Garden,Boston Celtics,Cleveland Cavaliers,120 - 117
213,4,20/11/2024 00:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,116 - 115
214,4,20/11/2024 01:00,FedExForum,Memphis Grizzlies,Denver Nuggets,110 - 122
215,4,20/11/2024 01:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,132 - 91
216,4,20/11/2024 02:30,Frost Bank Center,San Antonio Spurs,Oklahoma City Thunder,110 - 104
217,4,20/11/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,124 - 118
218,5,21/11/2024 00:30,Rocket Arena,Cleveland Cavaliers,New Orleans Pelicans,128 - 100
219,5,21/11/2024 00:30,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,122 - 106
220,5,21/11/2024 01:00,Toyota Center,Houston Rockets,Indiana Pacers,130 - 113
221,5,21/11/2024 01:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,117 - 111
222,5,21/11/2024 01:00,Paycom Center,Oklahoma City Thunder,Portland Trail Blazers,109 - 99
223,5,21/11/2024 03:00,PHX Arena,Phoenix Suns,New York Knicks,122 - 138
224,5,21/11/2024 03:00,Chase Center,Golden State Warriors,Atlanta Hawks,120 - 97
225,5,21/11/2024 03:30,Intuit Dome,LA Clippers,Orlando Magic,104 - 93
226,5,22/11/2024 00:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,123 - 121
227,5,22/11/2024 00:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,110 - 105
228,5,22/11/2024 01:00,Frost Bank Center,San Antonio Spurs,Utah Jazz,126 - 118
229,5,22/11/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Orlando Magic,118 - 119
230,5,23/11/2024 00:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,113 - 98
231,5,23/11/2024 00:00,Capital One Arena,Washington Wizards,Boston Celtics,96 - 108
235,5,23/11/2024 00:30,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,108 - 112
232,5,23/11/2024 01:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,129 - 117
233,5,23/11/2024 01:00,United Center,Chicago Bulls,Atlanta Hawks,136 - 122
234,5,23/11/2024 01:00,Toyota Center,Houston Rockets,Portland Trail Blazers,116 - 88
236,5,23/11/2024 03:00,Ball Arena,Denver Nuggets,Dallas Mavericks,120 - 123
237,5,23/11/2024 03:30,Intuit Dome,LA Clippers,Sacramento Kings,104 - 88
238,5,23/11/2024 22:00,Delta Center,Utah Jazz,New York Knicks,121 - 106
239,5,24/11/2024 00:00,Kia Center,Orlando Magic,Detroit Pistons,111 - 100
240,5,24/11/2024 01:00,United Center,Chicago Bulls,Memphis Grizzlies,131 - 142
241,5,24/11/2024 01:00,Toyota Center,Houston Rockets,Portland Trail Blazers,98 - 104
242,5,24/11/2024 01:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,125 - 119
243,5,24/11/2024 01:30,Frost Bank Center,San Antonio Spurs,Golden State Warriors,104 - 94
244,5,24/11/2024 03:30,Crypto.com Arena,Los Angeles Lakers,Denver Nuggets,102 - 127
245,5,24/11/2024 20:30,TD Garden,Boston Celtics,Minnesota Timberwolves,107 - 105
246,5,24/11/2024 22:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,115 - 103
247,5,24/11/2024 23:00,Kaseya Center,Miami Heat,Dallas Mavericks,123 - 118
248,5,24/11/2024 23:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,99 - 125
249,5,25/11/2024 00:30,Rocket Arena,Cleveland Cavaliers,Toronto Raptors,122 - 108
250,5,25/11/2024 02:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,103 - 108
251,5,26/11/2024 00:00,Spectrum Center,Charlotte Hornets,Orlando Magic,84 - 95
252,5,26/11/2024 00:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,102 - 100
253,5,26/11/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,New Orleans Pelicans,114 - 110
254,5,26/11/2024 00:30,State Farm Arena,Atlanta Hawks,Dallas Mavericks,119 - 129
255,5,26/11/2024 00:30,TD Garden,Boston Celtics,LA Clippers,126 - 94
256,5,26/11/2024 01:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,123 - 98
257,5,26/11/2024 02:00,Ball Arena,Denver Nuggets,New York Knicks,118 - 145
258,5,26/11/2024 03:00,Chase Center,Golden State Warriors,Brooklyn Nets,120 - 128
259,5,26/11/2024 03:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,109 - 130
260,5,27/11/2024 00:00,Capital One Arena,Washington Wizards,Chicago Bulls,108 - 127
261,5,27/11/2024 00:30,Kaseya Center,Miami Heat,Milwaukee Bucks,103 - 106
262,5,27/11/2024 01:00,Target Center,Minnesota Timberwolves,Houston Rockets,111 - 117
263,5,27/11/2024 02:00,Delta Center,Utah Jazz,San Antonio Spurs,115 - 128
264,5,27/11/2024 03:00,PHX Arena,Phoenix Suns,Los Angeles Lakers,127 - 100
265,6,28/11/2024 00:00,Spectrum Center,Charlotte Hornets,Miami Heat,94 - 98
266,6,28/11/2024 00:00,Rocket Arena,Cleveland Cavaliers,Atlanta Hawks,124 - 135
267,6,28/11/2024 00:00,Gainbridge Fieldhouse,Indiana Pacers,Portland Trail Blazers,121 - 114
268,6,28/11/2024 00:00,Kia Center,Orlando Magic,Chicago Bulls,133 - 119
269,6,28/11/2024 00:00,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,115 - 122
270,6,28/11/2024 00:00,Capital One Arena,Washington Wizards,LA Clippers,96 - 121
271,6,28/11/2024 00:30,American Airlines Center,Dallas Mavericks,New York Knicks,129 - 114
272,6,28/11/2024 01:00,FedExForum,Memphis Grizzlies,Detroit Pistons,131 - 111
273,6,28/11/2024 01:00,Target Center,Minnesota Timberwolves,Sacramento Kings,104 - 115
274,6,28/11/2024 01:00,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,93 - 119
275,6,28/11/2024 01:30,Frost Bank Center,San Antonio Spurs,Los Angeles Lakers,101 - 119
276,6,28/11/2024 02:00,PHX Arena,Phoenix Suns,Brooklyn Nets,117 - 127
277,6,28/11/2024 02:00,Delta Center,Utah Jazz,Denver Nuggets,103 - 122
278,6,28/11/2024 03:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,101 - 105
279,6,29/11/2024 17:00,Spectrum Center,Charlotte Hornets,New York Knicks,98 - 99
280,6,29/11/2024 19:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,117 - 101
281,6,29/11/2024 22:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,120 - 109
282,6,30/11/2024 00:30,Barclays Center,Brooklyn Nets,Orlando Magic,100 - 123
283,6,30/11/2024 00:30,Target Center,Minnesota Timberwolves,LA Clippers,93 - 92
284,6,30/11/2024 01:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,106 - 130
285,6,30/11/2024 01:00,Kaseya Center,Miami Heat,Toronto Raptors,121 - 111
286,6,30/11/2024 01:00,United Center,Chicago Bulls,Boston Celtics,129 - 138
287,6,30/11/2024 03:00,Crypto.com Arena,Los Angeles Lakers,Oklahoma City Thunder,93 - 101
288,6,30/11/2024 03:00,Moda Center,Portland Trail Blazers,Sacramento Kings,115 - 106
289,6,30/11/2024 23:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,104 - 107
290,6,01/12/2024 00:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,96 - 111
291,6,01/12/2024 01:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,124 - 114
