Match Number,Round Number,Date,Location,Home Team,Away Team,Result
972,19,16/03/2025 00:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,126 - 119
973,19,16/03/2025 00:30,Frost Bank Center,San Antonio Spurs,New Orleans Pelicans,119 - 115
974,19,16/03/2025 00:30,Chase Center,Golden State Warriors,New York Knicks,97 - 94
975,19,16/03/2025 01:00,Ball Arena,Denver Nuggets,Washington Wizards,123 - 126
976,19,16/03/2025 17:00,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,125 - 130
979,19,16/03/2025 17:00,Rocket Arena,Cleveland Cavaliers,Orlando Magic,103 - 108
977,19,16/03/2025 19:30,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,107 - 96
978,19,16/03/2025 22:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,122 - 114
980,19,16/03/2025 22:00,Moda Center,Portland Trail Blazers,Toronto Raptors,105 - 102
538,19,16/03/2025 23:00,Intuit Dome,LA Clippers,Charlotte Hornets,123 - 88
981,19,16/03/2025 23:00,Target Center,Minnesota Timberwolves,Utah Jazz,128 - 102
982,19,17/03/2025 01:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,105 - 121
984,19,17/03/2025 23:30,Madison Square Garden,New York Knicks,Miami Heat,116 - 95
985,19,18/03/2025 00:00,Toyota Center,Houston Rockets,Philadelphia 76ers,144 - 137
986,19,18/03/2025 00:00,Target Center,Minnesota Timberwolves,Indiana Pacers,130 - 132
987,19,18/03/2025 00:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,81 - 127
989,19,18/03/2025 01:00,Delta Center,Utah Jazz,Chicago Bulls,97 - 111
990,19,18/03/2025 02:00,Chase Center,Golden State Warriors,Denver Nuggets,105 - 114
991,19,18/03/2025 02:00,PHX Arena,Phoenix Suns,Toronto Raptors,129 - 89
992,19,18/03/2025 02:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,132 - 122
995,19,18/03/2025 02:00,Moda Center,Portland Trail Blazers,Washington Wizards,112 - 97
537,19,18/03/2025 02:30,Crypto.com Arena,Los Angeles Lakers,San Antonio Spurs,125 - 109
993,19,18/03/2025 23:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,102 - 134
994,19,18/03/2025 23:30,TD Garden,Boston Celtics,Brooklyn Nets,104 - 96
1012,19,19/03/2025 02:00,Chase Center,Golden State Warriors,Milwaukee Bucks,104 - 93
997,19,19/03/2025 02:30,Intuit Dome,LA Clippers,Cleveland Cavaliers,132 - 119
998,20,19/03/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Dallas Mavericks,135 - 131
999,20,19/03/2025 23:00,Kia Center,Orlando Magic,Houston Rockets,108 - 116
1000,20,19/03/2025 23:30,Kaseya Center,Miami Heat,Detroit Pistons,113 - 116
1001,20,20/03/2025 00:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,115 - 119
1002,20,20/03/2025 00:00,Paycom Center,Oklahoma City Thunder,Philadelphia 76ers,133 - 100
1003,20,20/03/2025 00:00,Frost Bank Center,San Antonio Spurs,New York Knicks,120 - 105
627,20,20/03/2025 01:00,Delta Center,Utah Jazz,Washington Wizards,128 - 112
1006,20,20/03/2025 02:00,Crypto.com Arena,Los Angeles Lakers,Denver Nuggets,120 - 108
1007,20,20/03/2025 02:00,PHX Arena,Phoenix Suns,Chicago Bulls,127 - 121
1008,20,20/03/2025 02:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,115 - 99
1009,20,20/03/2025 02:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,123 - 119
1010,20,20/03/2025 23:00,Spectrum Center,Charlotte Hornets,New York Knicks,115 - 98
1011,20,20/03/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,105 - 99
1005,20,21/03/2025 02:00,Chase Center,Golden State Warriors,Toronto Raptors,117 - 114
1013,20,21/03/2025 02:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,116 - 128
996,20,21/03/2025 02:30,Crypto.com Arena,Los Angeles Lakers,Milwaukee Bucks,89 - 118
1014,20,21/03/2025 23:00,Capital One Arena,Washington Wizards,Orlando Magic,105 - 120
1015,20,22/03/2025 00:00,Kaseya Center,Miami Heat,Houston Rockets,98 - 102
1016,20,22/03/2025 00:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,134 - 93
1017,20,22/03/2025 00:00,Paycom Center,Oklahoma City Thunder,Charlotte Hornets,141 - 106
1018,20,22/03/2025 00:00,Frost Bank Center,San Antonio Spurs,Philadelphia 76ers,128 - 120
1019,20,22/03/2025 00:30,American Airlines Center,Dallas Mavericks,Detroit Pistons,123 - 117
1020,20,22/03/2025 01:30,Delta Center,Utah Jazz,Boston Celtics,99 - 121
1021,20,22/03/2025 02:00,PHX Arena,Phoenix Suns,Cleveland Cavaliers,123 - 112
1022,20,22/03/2025 02:00,Moda Center,Portland Trail Blazers,Denver Nuggets,128 - 109
1023,20,22/03/2025 02:30,Intuit Dome,LA Clippers,Memphis Grizzlies,128 - 108
1024,20,22/03/2025 21:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,108 - 103
1025,20,22/03/2025 23:00,State Farm Arena,Atlanta Hawks,Golden State Warriors,124 - 115
1026,20,23/03/2025 00:00,Madison Square Garden,New York Knicks,Washington Wizards,122 - 103
1027,20,23/03/2025 02:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,108 - 114
1028,20,23/03/2025 02:30,Crypto.com Arena,Los Angeles Lakers,Chicago Bulls,115 - 146
1029,20,23/03/2025 19:00,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,136 - 130
1030,20,23/03/2025 19:30,Delta Center,Utah Jazz,Cleveland Cavaliers,91 - 120
1031,20,23/03/2025 22:00,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,132 - 119
1032,20,23/03/2025 22:00,Kaseya Center,Miami Heat,Charlotte Hornets,122 - 105
1033,20,23/03/2025 22:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,89 - 123
1034,20,23/03/2025 22:00,Moda Center,Portland Trail Blazers,Boston Celtics,116 - 129
1035,20,23/03/2025 23:00,Toyota Center,Houston Rockets,Denver Nuggets,111 - 116
1036,20,24/03/2025 01:00,Intuit Dome,LA Clippers,Oklahoma City Thunder,101 - 103
1037,20,24/03/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Minnesota Timberwolves,119 - 103
1038,20,24/03/2025 23:00,Kia Center,Orlando Magic,Los Angeles Lakers,118 - 106
1039,20,24/03/2025 23:00,Capital One Arena,Washington Wizards,Toronto Raptors,104 - 112
1040,20,24/03/2025 23:30,Barclays Center,Brooklyn Nets,Dallas Mavericks,101 - 120
1041,20,25/03/2025 00:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,112 - 99
1042,20,25/03/2025 01:00,Ball Arena,Denver Nuggets,Chicago Bulls,119 - 129
1043,20,25/03/2025 02:00,PHX Arena,Phoenix Suns,Milwaukee Bucks,108 - 106
1044,20,25/03/2025 02:00,Golden 1 Center,Sacramento Kings,Boston Celtics,95 - 113
1045,20,25/03/2025 23:00,Spectrum Center,Charlotte Hornets,Orlando Magic,104 - 111
1046,20,25/03/2025 23:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,122 - 96
1047,20,25/03/2025 23:30,Kaseya Center,Miami Heat,Golden State Warriors,112 - 86
1048,20,25/03/2025 23:30,Madison Square Garden,New York Knicks,Dallas Mavericks,128 - 113
1049,20,26/03/2025 00:00,Toyota Center,Houston Rockets,Atlanta Hawks,121 - 114
1050,20,26/03/2025 01:00,Delta Center,Utah Jazz,Memphis Grizzlies,103 - 140
1051,20,26/03/2025 02:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,111 - 122
1052,20,26/03/2025 02:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,105 - 121
1053,21,26/03/2025 23:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,114 - 119
1054,21,26/03/2025 23:30,Barclays Center,Brooklyn Nets,Toronto Raptors,86 - 116
1055,21,26/03/2025 23:30,Gainbridge Fieldhouse,Indiana Pacers,Los Angeles Lakers,119 - 120
1056,21,26/03/2025 23:30,Madison Square Garden,New York Knicks,LA Clippers,113 - 126
1057,21,27/03/2025 01:00,Ball Arena,Denver Nuggets,Milwaukee Bucks,127 - 117
1058,21,27/03/2025 02:00,PHX Arena,Phoenix Suns,Boston Celtics,102 - 132
1059,21,27/03/2025 23:00,Rocket Arena,Cleveland Cavaliers,San Antonio Spurs,124 - 116
1060,21,27/03/2025 23:00,Kia Center,Orlando Magic,Dallas Mavericks,92 - 101
1061,21,27/03/2025 23:00,Capital One Arena,Washington Wizards,Indiana Pacers,109 - 162
1062,21,27/03/2025 23:30,Kaseya Center,Miami Heat,Atlanta Hawks,122 - 112
1063,21,28/03/2025 00:00,United Center,Chicago Bulls,Los Angeles Lakers,119 - 117
1064,21,28/03/2025 00:00,Paycom Center,Oklahoma City Thunder,Memphis Grizzlies,125 - 104
1065,21,28/03/2025 01:00,Delta Center,Utah Jazz,Houston Rockets,110 - 121
1066,21,28/03/2025 02:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,128 - 107
1067,21,28/03/2025 23:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,133 - 122
1068,21,28/03/2025 23:30,Barclays Center,Brooklyn Nets,LA Clippers,100 - 132
1069,21,28/03/2025 23:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,108 - 97
