NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Jalen Johnson,Atl,Yes,F,23.2,36,35.7,22.4,16.3,126,0.746,402,0.565,141,0.312,0.54,0.568,18.9,10,5,1.6,1,2.9,28.9,23.9,33.9,11,109,111.1
Kristaps Porzingis,Bos,Yes,F,29.6,32,28.9,25.3,8,144,0.813,244,0.529,191,0.403,0.562,0.608,18.9,6.8,1.9,0.8,1.6,1.2,25.7,20.9,27.7,8.7,122.9,102.5
Cameron Johnson,Bro,Yes,F,29,46,31.7,22.7,11.3,177,0.898,261,0.571,342,0.398,0.585,0.635,18.8,4.1,2.9,0.9,0.5,1.7,22.9,21.7,25.8,7.7,122.5,114.7
Julius Randle,Min,Yes,F,30.3,50,32.5,25.3,17,257,0.817,467,0.548,229,0.319,0.525,0.582,18.8,7.2,4.4,0.7,0.2,2.9,26,23.3,30.4,10.4,114.2,106.8
Evan Mobley,Cle,Yes,C,23.7,54,30,23.4,13.5,232,0.754,525,0.627,158,0.367,0.609,0.641,18.6,9.3,3.1,0.8,1.6,2,27.9,21.7,31,10.8,125.1,105.1
Desmond Bane,Mem,Yes,G,26.7,49,31.2,23,15.8,147,0.884,400,0.57,286,0.378,0.569,0.606,18.6,6,5.5,1.2,0.4,2.6,24.5,24.1,30.1,10.9,118.6,108.3
John Collins,Uta,Yes,F,27.4,38,30.5,23.8,17,155,0.852,355,0.575,134,0.418,0.589,0.635,18.6,8.2,2.1,1,1.1,2.6,26.8,20.7,28.8,9,115.8,110.6
Tyrese Haliburton,Ind,Yes,G,25,59,34,21.5,11.1,173,0.861,355,0.569,462,0.39,0.578,0.612,18.5,3.5,8.9,1.5,0.6,1.7,22,27.4,30.9,9.8,128.6,116.4
Michael Porter Jr.,Den,Yes,F,26.7,58,33.4,20.5,8.9,146,0.747,432,0.593,368,0.41,0.603,0.621,18.5,6.8,2.2,0.6,0.4,1.3,25.3,20.7,27.5,7.8,122.3,113.4
Coby White,Chi,Yes,G,25,55,32.8,23.3,13.9,181,0.901,347,0.516,451,0.364,0.533,0.577,18.4,3.4,4.6,1,0.2,2.3,21.8,23,26.4,8.1,110.4,115.8
Dennis Schroder,Bro,No,G,31.5,23,33.6,23.7,15.3,81,0.889,175,0.509,150,0.387,0.542,0.588,18.4,3,6.6,1.1,0.2,2.6,21.4,25,28,8.5,116.2,113
